Inspection ID,FEI Number,Legal Name,City Name,Country Name,Country Code,Street Address Line 1,Inspection End Date,Classification Code,Product Type,Center,Project Area,Posted Citations
1268116,1000589993,Guangxi Yulin Pharmaceutical Group Co. Ltd.,Yulin,China,CN,1 Chengzhan Road,03/21/2025,OAI,Drugs,CDER,Drug Quality Assurance,No
1035957,3001164052,"Henan Lihua Pharmaceutical Co., Ltd.",Anyang,China,CN,Middle of Huanghe Street Hi tech Industry Development Zone,12/14/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
822022,3001329340,Valens Molecules Private Limited,Hyderabad,India,IN,"Plot No. 23, Phase I Industrial Development Area Jeedimetla",03/08/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
933602,3001329340,Valens Molecules Private Limited,Hyderabad,India,IN,"Plot No. 23, Phase I Industrial Development Area Jeedimetla",04/06/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1299974,3001413302,Dabur India Limited,Dadra And Nagar Haveli,India,IN,"225 - 4 - 1 Saily Village, Survey No",01/16/2026,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1028730,3001670917,Kopalle Pharma Chemicals Pvt Ltd.,Hyderabad,India,IN,"Phase Iii IDA, Jeedimetla",10/13/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1056501,3002619387,Avon Manufacturing (Guangzhou) Ltd.,Guangzhou,China,CN,"No. 11 Industry Road, Taipingzhen Conghua",06/07/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
946285,3002773156,"Xinxiang Pharmaceutical Co., Ltd.",Xinxiang,China,CN,"No.16, Jianwen Road, North District, Industrial Cluster Zone, Yanjin County",09/18/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1096669,3002785310,Matrix Pharmacorp Private Limited,Vizianagaram,India,IN,"Unit 8, Gaitula Chodavaram, Poosapatirega Mandal",06/05/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
873262,3002806711,Cadila Pharmaceuticals Limited,Ankleshwar,India,IN,"294 Sf-12 Shrinathji Arcade, Karmatur Road",03/28/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
982066,3002806711,Cadila Pharmaceuticals Limited,Ankleshwar,India,IN,"294 Sf-12 Shrinathji Arcade, Karmatur Road",07/25/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
887652,3002807297,Ipca Laboratories Limited,Ratlam,India,IN,P.O. Sejavta,07/18/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
552469,3002807511,Lupin Limited,Mandideep,India,IN,"Unit 1, 198-202, New Industrial Area No. 2, Dist. Raisen",11/12/2008,OAI,Drugs,CDER,Drug Quality Assurance,No
1073522,3002807511,Lupin Limited,Mandideep,India,IN,"Unit 1, 198-202, New Industrial Area No. 2, Dist. Raisen",12/04/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
1191374,3002807511,Lupin Limited,Mandideep,India,IN,"Unit 1, 198-202, New Industrial Area No. 2, Dist. Raisen",11/23/2022,OAI,Drugs,CDER,Drug Quality Assurance,No
1107143,3002807512,Lupin Limited,"Tarapur, Thane",India,IN,"T-142, M.I.D.C. Tarapur Via Boisar",09/20/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
1166309,3002807512,Lupin Limited,"Tarapur, Thane",India,IN,"T-142, M.I.D.C. Tarapur Via Boisar",04/04/2022,OAI,Drugs,CDER,Drug Quality Assurance,No
811127,3002807972,"Sun Pharmaceutical Industries, Inc.",Punjab,India,IN,"Village Toansa, PO Rail Majra, District Nawanshahar",12/14/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
812385,3002807979,Sun Pharmaceutical Industries Limited,Mohali,India,IN,"Unit 1 Plot A-41, Sez Industrial Area, Phase Viii A",12/12/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
1177459,3002807979,Sun Pharmaceutical Industries Limited,Mohali,India,IN,"Unit 1 Plot A-41, Sez Industrial Area, Phase Viii A",08/12/2022,OAI,Drugs,CDER,Drug Quality Assurance,Yes
670622,3002808073,"Sichuan Pharmaceutical Co., Ltd.",Chengdou,China,CN,"189 Huayuanlu, Pengzhou",06/29/2010,OAI,Drugs,CDER,Drug Quality Assurance,No
1107131,3002808145,Shriram Institute for Industrial Research,Delhi,India,IN,19 University Road,10/22/2019,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1231364,3002808145,Shriram Institute for Industrial Research,Delhi,India,IN,19 University Road,02/29/2024,OAI,Drugs,CDER,Drug Quality Assurance,Yes
819389,3002808411,Unique Chemicals,Navi Mumbai,India,IN,"Shiv Mahape Gansoli, Thane Belapur Road",01/31/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
951849,3002808500,"Wockhardt, Ltd.",Ankleshwar,India,IN,"Sf-12 Shrinathji Arcade Plot 138, Bulk Drug Division; Karmatur Road",12/15/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
844314,3002808503,Wockhardt Limited,Aurangabad,India,IN,"L-1, MIDC Area, Jalgaon Road 43, Chikalthana",07/31/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
921885,3002808503,Wockhardt Limited,Aurangabad,India,IN,"L-1, MIDC Area, Jalgaon Road 43, Chikalthana",03/17/2015,OAI,Drugs,CDER,Drug Quality Assurance,Yes
894199,3002808514,"Xian Lijun Pharmaceutical Co., Ltd",Xian,China,CN,NO 151 Hancheng South Road,08/22/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
671263,3002808537,"Yunnan Hande Bio-Tech Co., Ltd.",Kunming,China,CN,"Chuangzhi Industrial Park 5 2., Taiping; Taipingzhen Anning",05/21/2010,OAI,Drugs,CDER,Drug Quality Assurance,No
876166,3002808537,"Yunnan Hande Bio-Tech Co., Ltd.",Kunming,China,CN,"Chuangzhi Industrial Park 5 2., Taiping; Taipingzhen Anning",04/17/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
959848,3002808537,"Yunnan Hande Bio-Tech Co., Ltd.",Kunming,China,CN,"Chuangzhi Industrial Park 5 2., Taiping; Taipingzhen Anning",02/26/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
910402,3002809586,Sun Pharmaceutical Industries Ltd.,Halol,India,IN,Halol - Baroda Highway,09/16/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
996364,3002809586,Sun Pharmaceutical Industries Ltd.,Halol,India,IN,Halol - Baroda Highway,12/01/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
1112832,3002809586,Sun Pharmaceutical Industries Ltd.,Halol,India,IN,Halol - Baroda Highway,12/13/2019,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1169254,3002809586,Sun Pharmaceutical Industries Ltd.,Halol,India,IN,Halol - Baroda Highway,05/09/2022,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1272871,3002809586,Sun Pharmaceutical Industries Ltd.,Halol,India,IN,Halol - Baroda Highway,06/13/2025,OAI,Drugs,CDER,Drug Quality Assurance,Yes
904933,3002949085,Dr. Reddy's Laboratories Limited CTO VI,Srikakulam,India,IN,"APIIC Industrial Estate, Pydibhimavaram, Ranasthalam Mandal",11/21/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1011964,3002949085,Dr. Reddy's Laboratories Limited CTO VI,Srikakulam,India,IN,"APIIC Industrial Estate, Pydibhimavaram, Ranasthalam Mandal",04/04/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
709477,3002984011,Zydus Lifesciences Limited,"Taluka Sanand, Ahmedabad",India,IN,"Survey No. 417, 419 and 420, Sarkhej Bavla N. H. No. 8A Village-Moraiya",02/03/2011,OAI,Drugs,CDER,Drug Quality Assurance,No
895756,3002984011,Zydus Lifesciences Limited,"Taluka Sanand, Ahmedabad",India,IN,"Survey No. 417, 419 and 420, Sarkhej Bavla N. H. No. 8A Village-Moraiya",09/05/2014,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1088772,3002984011,Zydus Lifesciences Limited,"Taluka Sanand, Ahmedabad",India,IN,"Survey No. 417, 419 and 420, Sarkhej Bavla N. H. No. 8A Village-Moraiya",05/03/2019,OAI,Drugs,CDER,Drug Quality Assurance,Yes
730865,3003041943,Nivedita Chemicals Pvt. Ltd.,Mumbai,India,IN,A - 14,06/15/2011,OAI,Drugs,CDER,Drug Quality Assurance,No
1043219,3003090962,Vipor Chemicals Private Ltd.,Vadodara,India,IN,218 Gidc Industrial Estate,02/24/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
612640,3003091092,Jilin Shulan Synthetic Pharmaceutical Co. Ltd.,Jilin,China,CN,"No. 2066 Peoples Main Road, Shulan",08/28/2009,OAI,Drugs,CDER,Drug Quality Assurance,No
1032074,3003091092,Jilin Shulan Synthetic Pharmaceutical Co. Ltd.,Jilin,China,CN,"No. 2066 Peoples Main Road, Shulan",11/10/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1077094,3003144728,Jubilant Pharmova Limited,Mysore,India,IN,"No 18, 56, 57 & 58 Kiadb Industrial Area, Nanjangud",12/18/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
839241,3003255171,USV Private Limited,Govandi,India,IN,"Redg. Office: B.S.D. Marg, B-249, 250, 147 & 148, Peenya 2nd Stage",06/11/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
839241,3003255171,USV Private Limited,Govandi,India,IN,"Redg. Office: B.S.D. Marg, B-249, 250, 147 & 148, Peenya 2nd Stage",06/11/2013,OAI,Drugs,CDER,Postmarket Surv. and Epidemiology,No
953632,3003255171,USV Private Limited,Govandi,India,IN,"Redg. Office: B.S.D. Marg, B-249, 250, 147 & 148, Peenya 2nd Stage",10/23/2015,OAI,Drugs,CDER,Drug Quality Assurance,Yes
890252,3003263118,Pan Drugs Ltd.,"Nandesari, Vadodara",India,IN,167-168 GIDC Nandesari Ind. Estate,07/18/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
819245,3003269328,RPG Life Sciences Limited,Navi Mumbai,India,IN,"25, M.I.D.C. Land, Thane, Thane-Belapur Road",01/31/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
771287,3003271254,"Shanghai Huhui Daily Use Chemical Products Co., Ltd.",Shanghai,China,CN,"Pudong District , NO 8 Ludalu",02/10/2012,OAI,Drugs,CDER,Drug Quality Assurance,No
826575,3003297374,Canton Laboratories Private Ltd.,Vadodara,India,IN,"A & B, 110 Gidc Industrial Estate; Makarpura Road",04/09/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
931356,3003297374,Canton Laboratories Private Ltd.,Vadodara,India,IN,"A & B, 110 Gidc Industrial Estate; Makarpura Road",04/22/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1111289,3003297374,Canton Laboratories Private Ltd.,Vadodara,India,IN,"A & B, 110 Gidc Industrial Estate; Makarpura Road",11/21/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
1024533,3003340745,Ming Fai Industrial (Shenzhen) Co LTD,Shenzhen,China,CN,"Ming Fai Industrial Estate, Bainikeng Pinghu, Longgang",08/11/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
954461,3003394260,Vital Laboratories Pvt Ltd  Plant I,Vapi,India,IN,"Plot No: 1416-21, 1507/1 & 2, 1601 & 1601/3 & 4, G.I.D.C. Estate, Phase III",12/18/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
884001,3003447972,Kreative Organics Private Limited,Hyderabad,India,IN,"D-123 Phase-Iii Ida, Jeedimetla",05/02/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1010083,3003447972,Kreative Organics Private Limited,Hyderabad,India,IN,"D-123 Phase-Iii Ida, Jeedimetla",04/14/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
815170,3003519498,Fresenius Kabi Oncology Limited,Nadia,India,IN,"D-35 Industrial Area, Kalyani",01/18/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
924144,3003519498,Fresenius Kabi Oncology Limited,Nadia,India,IN,"D-35 Industrial Area, Kalyani",03/03/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1013712,3003519498,Fresenius Kabi Oncology Limited,Nadia,India,IN,"D-35 Industrial Area, Kalyani",05/24/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1260407,3003560263,Hikal Limited,Jigani,India,IN,72 - 82 / A Kiadb Industrial Area,02/07/2025,OAI,Drugs,CDER,Drug Quality Assurance,No
697597,3003585759,"Ningbo Smart Pharmaceutical Co., Ltd.",Ningbo,China,CN,"Sec. C1, Ningbo Eco., Tech. Dev. Zone Beilun",10/29/2010,OAI,Drugs,CDER,Drug Quality Assurance,No
1123376,3003585876,Solara Active Pharma Sciences Limited,Cuddalore,India,IN,"A - 1/B Sipcot Industrial Complex, Kudikadu Village",03/07/2020,OAI,Drugs,CDER,Drug Quality Assurance,No
936929,3003631275,Zhejiang Medicine Co. Ltd. Xinchang Pharmaceutical Factory,Xinchang,China,CN,98 East Xinchang Dadao Road,06/18/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
608014,3003657863,Xi'an Libang Pharmaceutical Co Ltd. API Plant,Xian,China,CN,"Liucun Bao Industrial, No. 42 Fengchan Road; Weiyang",07/30/2009,OAI,Drugs,CDER,Drug Quality Assurance,No
851023,3003671775,"Tianjin Zhongan Pharmaceutical Co., Ltd.",Tianjin,China,CN,"Xiqing, 188 Fukang Road",09/27/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
956512,3003671775,"Tianjin Zhongan Pharmaceutical Co., Ltd.",Tianjin,China,CN,"Xiqing, 188 Fukang Road",02/02/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
878344,3003677831,Keshava Organics Private Ltd.,Tarapur,India,IN,T - 97 98 & 100 Boisar,04/18/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
